,Unnamed: 0,Turno,ID Empleado,Apellido,Nombre,ID Puesto,Email,Unnamed: 0.1,Puesto,Departamento,Tipo Puesto,union_nombres
24,24,,154,MARTINEZ,TEUSCHER,30-13310,teuscher.martinez@tractchun.com,32,Técnico de calibración y metrología,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Operativo,TEUSCHER MARTINEZ
25,25,,158,Moreno,Lizeth,55-23200,lizeth.moreno@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,Lizeth Moreno
26,26,,162,VALENCIA,ACEDO,15-24000,acedo.valencia@tractchun.com,11,Gerente de Producción,PRODUCCION,Gerencia,ACEDO VALENCIA
27,27,,169,Arango,Maria,80-24100,maria.arango@tractchun.com,87,Supervisor de Producción,MANTENIMIENTO,Mandos Medios,Maria Arango
28,28,,172,SANDOVAL,OSWALDO,30-13100,oswaldo.sandoval@tractchun.com,30,Controlador de Documentos,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Mandos Medios,OSWALDO SANDOVAL
29,29,,183,AHUMADA,JAVIER,90-14000,javier.ahumada@tractchun.com,90,Supervisor de Ingeniería de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,JAVIER AHUMADA
30,30,,184,Piedrahita,Catalina,20-31410,catalina.piedrahita@tractchun.com,25,Clerk de Tráfico,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo,Catalina Piedrahita
31,31,,187,FUENTES,ROMARIO,15-24000,romario.fuentes@tractchun.com,11,Gerente de Producción,PRODUCCION,Gerencia,ROMARIO FUENTES
32,32,,192,PEREZ,IVAN,15-24100,ivan.perez@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,IVAN PEREZ
33,33,,198,VALENCIA,ALEJANDRO,45-11000,alejandro.valencia@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,ALEJANDRO VALENCIA
34,34,,213,ESTRADA,GUADALUPE,15-24100,guadalupe.estrada@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,GUADALUPE ESTRADA
35,35,,215,ESPINOZA,IGNACIO,15-24100,ignacio.espinoza@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,IGNACIO ESPINOZA
36,36,,216,CORONADO,ALBERTO,55-23200,alberto.coronado@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,ALBERTO CORONADO
37,37,,223,FLORES,ALONSO,45-11000,alonso.flores@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,ALONSO FLORES
38,38,,227,ZAZUETA,LUIS,45-11000,luis.zazueta@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,LUIS ZAZUETA
39,39,,236,SANTOS,MARIA,15-24100,maria.santos@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,MARIA SANTOS
40,40,,237,MORENO,NAVARRO,80-22211,navarro.moreno@tractchun.com,79,Mecánico,MANTENIMIENTO,Operativo,NAVARRO MORENO
41,41,,238,ENCINAS,JUAREZ,15-22211,juarez.encinas@tractchun.com,9,Mecánico,PRODUCCION,Operativo,JUAREZ ENCINAS
42,42,,240,ROMERO,BALLESTEROS,80-22610,ballesteros.romero@tractchun.com,82,Capturista de Tool Crib,MANTENIMIENTO,Administrativo,BALLESTEROS ROMERO
43,43,,255,MENDEZ,TERESA,50-33100,teresa.mendez@tractchun.com,55,Supervisor de Control de Producción,CONTROL DE PRODUCCION,Mandos Medios,TERESA MENDEZ
44,44,,262,Barrientos,Liliana,20-31410,liliana.barrientos@tractchun.com,25,Clerk de Tráfico,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo,Liliana Barrientos
45,45,,265,SANTACRUZ,JAIME,15-24100,jaime.santacruz@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,JAIME SANTACRUZ
46,46,,266,BORQUEZ,FRANCISCO,80-24100,francisco.borquez@tractchun.com,87,Supervisor de Producción,MANTENIMIENTO,Mandos Medios,FRANCISCO BORQUEZ
47,47,,276,GRIJALVA,MARIA,15-24111,maria.grijalva@tractchun.com,14,Operador de Producción,PRODUCCION,Operativo,MARIA GRIJALVA
48,48,,280,GAMEZ,RAMON,80-22610,ramon.gamez@tractchun.com,82,Capturista de Tool Crib,MANTENIMIENTO,Administrativo,RAMON GAMEZ
49,49,,283,RUIZ,ANGELICA,20-31400,angelica.ruiz@tractchun.com,24,Supervisor de Tráfico,"SISTEMAS, TRAFICO Y ADUANAS",Mandos Medios,ANGELICA RUIZ
50,50,,286,Cardona,Eliana ,15-24100,eliana .cardona@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,Eliana  Cardona
51,51,,290,CAUDILLO,ANTONIO,45-11000,antonio.caudillo@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,ANTONIO CAUDILLO
52,52,,295,CHAVEZ,JULIO,15-24111,julio.chavez@tractchun.com,14,Operador de Producción,PRODUCCION,Operativo,JULIO CHAVEZ
53,53,,307,BRACAMONTE,EDITH,80-22205,edith.bracamonte@tractchun.com,77,Coordinador de Activos,MANTENIMIENTO,Mandos Medios,EDITH BRACAMONTE
54,54,,313,CELAYA,ARACELI,45-11000,araceli.celaya@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,ARACELI CELAYA
55,55,,323,DOURIET,ALBERTO,55-23200,alberto.douriet@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,ALBERTO DOURIET
56,56,,325,GAMEZ,ENRIQUE,15-24100,enrique.gamez@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,ENRIQUE GAMEZ
57,57,,326,LOPEZ,DIOS,80-22210,dios.lopez@tractchun.com,78,Supervisor de Mantenimiento,MANTENIMIENTO,Mandos Medios,DIOS LOPEZ
58,58,,328,CARDENAS,RAMIREZ,30-13100,ramirez.cardenas@tractchun.com,30,Controlador de Documentos,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Mandos Medios,RAMIREZ CARDENAS
59,59,,336,Zapata,Solina,15-24100,solina.zapata@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,Solina Zapata
60,60,,338,CORRALES,MARITZA,15-24100,maritza.corrales@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,MARITZA CORRALES
61,61,,345,AMADOR,ROSARIO,80-22205,rosario.amador@tractchun.com,77,Coordinador de Activos,MANTENIMIENTO,Mandos Medios,ROSARIO AMADOR
62,62,,348,JIMENEZ,PATRICIA,70-21120,patricia.jimenez@tractchun.com,71,Auxiliar de Recursos Humanos,Recursos Humanos,Administrativo,PATRICIA JIMENEZ
63,63,,353,VILLANES,MARTIN,15-24100,martin.villanes@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,MARTIN VILLANES
64,64,,361,FABELA,JOSE,15-24100,jose.fabela@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,JOSE FABELA
65,65,,367,ALDRETE,JUAN,15-24100,juan.aldrete@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,JUAN ALDRETE
66,66,,369,DURAN,ALBERTO,55-23200,alberto.duran@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,ALBERTO DURAN
67,67,,373,JUSTINIANI,CORTES,55-23810,cortes.justiniani@tractchun.com,63,Técnico de soporte,INGENIERIA DE MANUFACTURA,Operativo,CORTES JUSTINIANI
68,68,,380,FLORES,GERARDO,15-27000,gerardo.flores@tractchun.com,15,Supervisor General de Producción,PRODUCCION,Mandos Medios,GERARDO FLORES
69,69,,385,AINZA,BENITA,20-31320,benita.ainza@tractchun.com,23,Clerk de Aduanas,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo,BENITA AINZA
70,70,,389,CARDENAS,CONCEPCION,45-11000,concepcion.cardenas@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,CONCEPCION CARDENAS
71,71,,392,FRANCIS,MARTINEZ,80-23200,martinez.francis@tractchun.com,84,Ingeniero de Manufactura,MANTENIMIENTO,Operativo,MARTINEZ FRANCIS
72,72,,395,Angulo,Johana,90-14000,johana.angulo@tractchun.com,90,Supervisor de Ingeniería de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,Johana Angulo
73,73,,405,RAMOS,JUAN,15-22211,juan.ramos@tractchun.com,9,Mecánico,PRODUCCION,Operativo,JUAN RAMOS
74,74,,409,CISNEROS,LEOVIGILDO,45-11000,leovigildo.cisneros@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,LEOVIGILDO CISNEROS
75,75,,410,ESCALANTE,ERIKA,80-22210,erika.escalante@tractchun.com,78,Supervisor de Mantenimiento,MANTENIMIENTO,Mandos Medios,ERIKA ESCALANTE
76,76,,424,BRICKNER,ALICIA,15-24100,alicia.brickner@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,ALICIA BRICKNER
77,77,,426,CORELLA,URIBE,15-24100,uribe.corella@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,URIBE CORELLA
78,78,,435,PERALTA,LOPEZ,90-14100,lopez.peralta@tractchun.com,91,Ingeniero de Calidad,INGENIERIA DE CALIDAD,Operativo,LOPEZ PERALTA
79,79,,436,URZUA,ALEJANDRO,55-23200,alejandro.urzua@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,ALEJANDRO URZUA
80,80,,437,LERMA,VERONICA,80-22205,veronica.lerma@tractchun.com,77,Coordinador de Activos,MANTENIMIENTO,Mandos Medios,VERONICA LERMA
81,81,,438,SOTO,MAGNOLIA,45-11000,magnolia.soto@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,MAGNOLIA SOTO
82,82,,447,VILLA,FRIAS,80-24100,frias.villa@tractchun.com,87,Supervisor de Producción,MANTENIMIENTO,Mandos Medios,FRIAS VILLA
83,83,,480,Prisco,Andres,50-33100,andres.prisco@tractchun.com,55,Supervisor de Control de Producción,CONTROL DE PRODUCCION,Mandos Medios,Andres Prisco
84,84,,493,Pemberthy,Alejandro,15-24100,alejandro.pemberthy@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,Alejandro Pemberthy
85,85,,500,MOROYOQUI,PATRICIA,40-43200,patricia.moroyoqui@tractchun.com,43,Supervisor de Nóminas,CONTABILIDAD,Mandos Medios,PATRICIA MOROYOQUI
86,86,,502,VAZQUEZ,JUAN,15-24111,juan.vazquez@tractchun.com,14,Operador de Producción,PRODUCCION,Operativo,JUAN VAZQUEZ
87,87,,503,Barrientos,Daniel,45-11000,daniel.barrientos@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,Daniel Barrientos
88,88,,538,ACOSTA,YOLANDA,15-31410,yolanda.acosta@tractchun.com,16,Clerk de Tráfico,PRODUCCION,Administrativo,YOLANDA ACOSTA
89,89,,540,Betancur,Juan ,15-24111,juan .betancur@tractchun.com,14,Operador de Producción,PRODUCCION,Operativo,Juan  Betancur
90,90,,541,BRIBIESCA,PATRON,20-31410,patron.bribiesca@tractchun.com,25,Clerk de Tráfico,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo,PATRON BRIBIESCA
91,91,,548,COSS,IRENE,80-22210,irene.coss@tractchun.com,78,Supervisor de Mantenimiento,MANTENIMIENTO,Mandos Medios,IRENE COSS
92,92,,550,GARCIA,CORONADO,20-31400,coronado.garcia@tractchun.com,24,Supervisor de Tráfico,"SISTEMAS, TRAFICO Y ADUANAS",Mandos Medios,CORONADO GARCIA
93,93,,555,BARRERAS,ARTURO,70-21120,arturo.barreras@tractchun.com,71,Auxiliar de Recursos Humanos,Recursos Humanos,Administrativo,ARTURO BARRERAS
94,94,,556,Parra,Jhon ,50-33200,jhon .parra@tractchun.com,57,Supervisor General de Control de Producción,CONTROL DE PRODUCCION,Mandos Medios,Jhon  Parra
95,95,,563,ANAYA,FELIPA,15-24100,felipa.anaya@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,FELIPA ANAYA
96,96,,569,MORA,MARIA,45-11000,maria.mora@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,MARIA MORA
97,97,,573,SOTO,MARINA,45-11000,marina.soto@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,MARINA SOTO
98,98,,586,MORENO,RAMON,40-43200,ramon.moreno@tractchun.com,43,Supervisor de Nóminas,CONTABILIDAD,Mandos Medios,RAMON MORENO
99,99,,587,ABRIL,ALBERTO,80-22220,alberto.abril@tractchun.com,80,Ingeniero de Procesos,MANTENIMIENTO,Operativo,ALBERTO ABRIL
100,100,,588,Porras ,Marta ,45-11000,marta .porras @tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,Marta  Porras 
101,101,,589,BANDA,ERNESTO,45-11000,ernesto.banda@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,ERNESTO BANDA
102,102,,598,BRICKNER,LUCIA,90-14000,lucia.brickner@tractchun.com,90,Supervisor de Ingeniería de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,LUCIA BRICKNER
103,103,,607,GALAZ,LORENIA,15-24100,lorenia.galaz@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,LORENIA GALAZ
104,104,,612,OCAÑO,PIÑA,20-31410,piña.ocaño@tractchun.com,25,Clerk de Tráfico,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo,PIÑA OCAÑO
105,105,,615,VON_BORSTEL,ENRIQUE,45-11000,enrique.von_borstel@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,ENRIQUE VON_BORSTEL
106,106,,626,GAUTRIN,LUISA,90-14100,luisa.gautrin@tractchun.com,91,Ingeniero de Calidad,INGENIERIA DE CALIDAD,Operativo,LUISA GAUTRIN
107,107,,642,Puerta,Alexander,10-25120,alexander.puerta@tractchun.com,2,Auxiliar de compras,MATERIALES,Administrativo,Alexander Puerta
108,108,,644,COTA,CARLOS,80-22220,carlos.cota@tractchun.com,80,Ingeniero de Procesos,MANTENIMIENTO,Operativo,CARLOS COTA
109,109,,649,ARMENTA,MANUEL,90-14100,manuel.armenta@tractchun.com,91,Ingeniero de Calidad,INGENIERIA DE CALIDAD,Operativo,MANUEL ARMENTA
110,110,,661,MOROYOQUI,RIVERA,55-23200,rivera.moroyoqui@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,RIVERA MOROYOQUI
111,111,,664,SANTILLANEZ,HEBERTO,15-24100,heberto.santillanez@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,HEBERTO SANTILLANEZ
112,112,,669,ROMERO,JORGE,15-24100,jorge.romero@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,JORGE ROMERO
113,113,,688,CELADA,ALFONSO,15-24100,alfonso.celada@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,ALFONSO CELADA
114,114,,693,VASQUEZ,SOTO,55-23200,soto.vasquez@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,SOTO VASQUEZ
115,115,,698,NERI,GUTIERREZ,45-11000,gutierrez.neri@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,GUTIERREZ NERI
116,116,,701,DUARTE,VILLEGAS,80-22210,villegas.duarte@tractchun.com,78,Supervisor de Mantenimiento,MANTENIMIENTO,Mandos Medios,VILLEGAS DUARTE
117,117,,703,PATIÑO,OLIVIA,50-33200,olivia.patiño@tractchun.com,57,Supervisor General de Control de Producción,CONTROL DE PRODUCCION,Mandos Medios,OLIVIA PATIÑO
118,118,,704,CAPIN,EFRAIN,30-16000,efrain.capin@tractchun.com,36,Supervisor General de Areas,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Mandos Medios,EFRAIN CAPIN
119,119,,705,GUEVARA,JESUS,20-31100,jesus.guevara@tractchun.com,18,Analista de Sistemas,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo,JESUS GUEVARA
120,120,,706,Porras ,Andrea,55-23200,andrea.porras @tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,Andrea Porras 
121,121,,708,BEJARANO,PATRICIA,45-11000,patricia.bejarano@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,PATRICIA BEJARANO
122,122,,709,Correa,Luis ,45-11000,luis .correa@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,Luis  Correa
123,123,,711,SERNA,MEDINA,45-11000,medina.serna@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,MEDINA SERNA
124,124,,715,ANGUIS,GALO,30-16000,galo.anguis@tractchun.com,36,Supervisor General de Areas,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Mandos Medios,GALO ANGUIS
125,125,,716,NAVARRO,PORTUGAL,20-31410,portugal.navarro@tractchun.com,25,Clerk de Tráfico,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo,PORTUGAL NAVARRO
126,126,,720,TANORI,JESUS,30-16000,jesus.tanori@tractchun.com,36,Supervisor General de Areas,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Mandos Medios,JESUS TANORI
127,127,,728,SOTO,RODRIGUEZ,80-23200,rodriguez.soto@tractchun.com,84,Ingeniero de Manufactura,MANTENIMIENTO,Operativo,RODRIGUEZ SOTO
128,128,,731,ALMARAZ,LUIS,15-24100,luis.almaraz@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,LUIS ALMARAZ
129,129,,733,DIAZ,ORTIZ,80-24100,ortiz.diaz@tractchun.com,87,Supervisor de Producción,MANTENIMIENTO,Mandos Medios,ORTIZ DIAZ
130,130,,735,DAVILA,ELIZABETH,90-14100,elizabeth.davila@tractchun.com,91,Ingeniero de Calidad,INGENIERIA DE CALIDAD,Operativo,ELIZABETH DAVILA
131,131,,738,OLIVARRIA,ALICIA,20-31320,alicia.olivarria@tractchun.com,23,Clerk de Aduanas,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo,ALICIA OLIVARRIA
132,132,,739,QUINTANA,FRANCISCA,45-11000,francisca.quintana@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,FRANCISCA QUINTANA
133,133,,744,Posada ,Esteban,45-11000,esteban.posada @tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,Esteban Posada 
134,134,,756,ALVAREZ,P.,80-24100,p..alvarez@tractchun.com,87,Supervisor de Producción,MANTENIMIENTO,Mandos Medios,P. ALVAREZ
135,135,,759,MORENO,FRANCISCA,45-11000,francisca.moreno@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,FRANCISCA MORENO
136,136,,760,DIAZ,ANA,55-23810,ana.diaz@tractchun.com,63,Técnico de soporte,INGENIERIA DE MANUFACTURA,Operativo,ANA DIAZ
137,137,,764,Angulo,Mercedes,50-33110,mercedes.angulo@tractchun.com,56,Controlador de producción,CONTROL DE PRODUCCION,Mandos Medios,Mercedes Angulo
138,138,,767,Mira,Adrian,80-22210,adrian.mira@tractchun.com,78,Supervisor de Mantenimiento,MANTENIMIENTO,Mandos Medios,Adrian Mira
139,139,,774,LOPEZ,YANEZ,10-32110,yanez.lopez@tractchun.com,6,Almacenista,MATERIALES,Administrativo,YANEZ LOPEZ
140,140,,782,DURAZO,ANGEL,55-23200,angel.durazo@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,ANGEL DURAZO
141,141,,794,OSORNIO,ANTONIO,20-31320,antonio.osornio@tractchun.com,23,Clerk de Aduanas,"SISTEMAS, TRAFICO Y ADUANAS",Administrativo,ANTONIO OSORNIO
142,142,,798,Agudelo,Alberto,80-22210,alberto.agudelo@tractchun.com,78,Supervisor de Mantenimiento,MANTENIMIENTO,Mandos Medios,Alberto Agudelo
143,143,,805,SAENZ,FERNANDO,55-23200,fernando.saenz@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,FERNANDO SAENZ
144,144,,808,CEBALLOS,MARIA,30-16000,maria.ceballos@tractchun.com,36,Supervisor General de Areas,"AUDITORIA INTERNA, CALIBRACION Y METROLOGIA",Mandos Medios,MARIA CEBALLOS
145,145,,845,MIRANDA,ARTURO,55-23810,arturo.miranda@tractchun.com,63,Técnico de soporte,INGENIERIA DE MANUFACTURA,Operativo,ARTURO MIRANDA
146,146,,849,SORTILLON,YOLANDA,15-24100,yolanda.sortillon@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,YOLANDA SORTILLON
147,147,,853,HURTADO,CARMEN,80-22220,carmen.hurtado@tractchun.com,80,Ingeniero de Procesos,MANTENIMIENTO,Operativo,CARMEN HURTADO
148,148,,856,OCAÑO,CARLOS,10-32100,carlos.ocaño@tractchun.com,5,Supervisor de Almacén,MATERIALES,Mandos Medios,CARLOS OCAÑO
149,149,,860,Arango,Haygnes,55-23200,haygnes.arango@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,Haygnes Arango
150,150,,881,Sepúlveda,Juan ,55-23810,juan .sepúlveda@tractchun.com,63,Técnico de soporte,INGENIERIA DE MANUFACTURA,Operativo,Juan  Sepúlveda
151,151,,884,DUARTE,MIGUEL,50-33110,miguel.duarte@tractchun.com,56,Controlador de producción,CONTROL DE PRODUCCION,Mandos Medios,MIGUEL DUARTE
152,152,,886,MONTAÑO,MARTHA,45-11000,martha.montaño@tractchun.com,47,Supervisor de Aseguramiento de Calidad,INGENIERIA DE CALIDAD,Mandos Medios,MARTHA MONTAÑO
153,153,,891,GONZALES,DARIO,10-32100,dario.gonzales@tractchun.com,5,Supervisor de Almacén,MATERIALES,Mandos Medios,DARIO GONZALES
154,154,,911,ALDRETE,GABRIEL,15-24100,gabriel.aldrete@tractchun.com,12,Supervisor de Producción,PRODUCCION,Mandos Medios,GABRIEL ALDRETE
155,155,,912,BRIBIESCA,ERIKA,80-22210,erika.bribiesca@tractchun.com,78,Supervisor de Mantenimiento,MANTENIMIENTO,Mandos Medios,ERIKA BRIBIESCA
156,156,,916,BALDENEGRO,EUGENIA,10-32100,eugenia.baldenegro@tractchun.com,5,Supervisor de Almacén,MATERIALES,Mandos Medios,EUGENIA BALDENEGRO
157,157,,925,REAL,BECERRIL,55-23200,becerril.real@tractchun.com,60,Ingeniero de Manufactura,INGENIERIA DE MANUFACTURA,Operativo,BECERRIL REAL
158,158,,926,MOLINA,PATRICIA,50-33110,patricia.molina@tractchun.com,56,Controlador de producción,CONTROL DE PRODUCCION,Mandos Medios,PATRICIA MOLINA
